# Comments starts with '#' and the line will be ignored when reading,,,,,
# Command, start with pipe '|',,,,
# Empty lines will be ignored when reading,,,,,
# CSV format for data plot,,,,,
# Double quote is not allowed, use single quote instead
#  Type of plot,,,,,
| type=trace
# Plot data specification
| x = time
| y = voltage
| xunit = ms
| yunit = mV
# Data Table: No meta parameters should be defined beyond data table,,,,,
time,voltage,current
20.7,-54.9517,2.8126
20.8,-54.9517,3.4376
20.9,-54.9642,3.1251
21,-54.9329,1.8751
21.1,-54.9454,1.8751
21.2,-54.9329,1.8751
21.3,-54.9204,4.0626
21.4,-54.9267,3.4376
21.5,-54.9142,0.62502
21.6,-54.9142,2.5001
21.7,-54.9017,1.8751
21.8,-54.9017,2.5001
21.9,-54.9017,3.7501
22,-54.9079,1.5625
22.1,-54.8829,1.25
22.2,-54.8517,0.31251
22.3,-54.8267,0.93753
22.4,-54.8017,1.8751
22.5,-54.7892,2.5001
22.6,-54.7829,3.7501
22.7,-54.7829,4.6876
22.8,-54.8017,3.1251
22.9,-54.8079,3.1251
23,-54.8079,4.3751
23.1,-54.8204,2.8126
23.2,-54.8017,0
23.3,-54.7892,0.31251
23.4,-54.7767,2.5001
23.5,-54.7642,1.25
23.6,-54.7517,1.8751
23.7,-54.7579,3.7501
23.8,-54.7329,1.8751
23.9,-54.7267,0.93753
24,-54.7204,2.5001
24.1,-54.7017,2.5001
24.2,-54.6954,1.25
24.3,-54.6954,3.4376
24.4,-54.6954,3.7501
24.5,-54.7017,3.4376
24.6,-54.7142,3.4376
24.7,-54.7142,0.62502
24.8,-54.7017,1.25
24.9,-54.6767,0.31251
25,-54.6704,1.8751
25.1,-54.6517,1.25
25.2,-54.6079,0.93753
25.3,-54.5892,0.62502
25.4,-54.5704,3.1251
25.5,-54.5704,4.3751
25.6,-54.5642,2.5001
25.7,-54.5454,2.8126
25.8,-54.5579,2.8126
25.9,-54.5642,2.5001
26,-54.5579,2.1876
26.1,-54.5517,3.4376
26.2,-54.5579,1.8751
26.3,-54.5517,2.5001
26.4,-54.5392,0
26.5,-54.5454,2.8126
26.6,-54.5142,1.8751
26.7,-54.5079,0.31251
26.8,-54.4954,2.5001
26.9,-54.5204,3.4376
27,-54.5204,2.5001
27.1,-54.5079,1.5625
27.2,-54.5017,1.8751
27.3,-54.4954,0.31251
27.4,-54.4579,1.25
27.5,-54.4579,2.5001
27.6,-54.4454,1.5625
27.7,-54.4329,2.1876
27.8,-54.4204,1.8751
27.9,-54.4079,0.31251
28,-54.4079,1.8751
28.1,-54.4079,4.3751
28.2,-54.3892,2.1876
28.3,-54.3829,0.93753
28.4,-54.3642,1.8751
28.5,-54.3767,2.5001
28.6,-54.3579,1.5625
28.7,-54.2954,2.5001
28.8,-54.2829,2.5001
28.9,-54.2767,1.5625
29,-54.2892,2.1876
29.1,-54.2704,3.1251
29.2,-54.2454,1.25
29.3,-54.2517,2.5001
29.4,-54.2517,4.0626
29.5,-54.2142,1.25
29.6,-54.2142,2.1876
29.7,-54.1892,1.25
29.8,-54.1704,0.93753
29.9,-54.1642,4.0626
30,-54.1767,5.6252
30.1,-54.1579,2.8126
30.2,-54.1704,2.8126
30.3,-54.1704,3.7501
30.4,-54.1517,2.1876
30.5,-54.1642,1.5625
30.6,-54.1704,3.7501
30.7,-54.1579,3.1251
30.8,-54.1642,2.1876
30.9,-54.1454,1.5625
31,-54.1454,2.1876
31.1,-54.1329,1.8751
31.2,-54.1204,2.5001
31.3,-54.1267,2.1876
31.4,-54.0891,0.93753
31.5,-54.0891,3.4376
31.6,-54.0891,3.4376
31.7,-54.0641,2.5001
31.8,-54.0391,1.5625
31.9,-54.0079,1.25
32,-54.0016,2.8126
32.1,-54.0016,5.0002
32.2,-53.9954,1.8751
32.3,-53.9641,1.25
32.4,-53.9704,3.4376
32.5,-53.9454,2.1876
32.6,-53.9266,1.5625
32.7,-53.9141,3.1251
32.8,-53.9016,2.1876
32.9,-53.8704,0.62502
