Show,Cell,Episode,SweepWindow,Drug,DrugTime,WCTime,StimDescription,path,drug_level,has_hyperpolarizing,hyper_start_ms,hyper_end_ms,hyper_amp,depol_start_ms,depol_end_ms,depol_amp,depol_source,after_step_ms,stim_source,voltage_channel,n_spikes_post,first_spike_ms,last_spike_ms,persist_span_ms
1,Neocortex L.23Sep15,S1.E19,40000,ML297+CCh,2442.4453125,2583.03125,"DAC0: PulseB 250 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2015/09.September/Data 23 Sep 2015/Neocortex L.23Sep15.S1.E19.dat,1,False,,,,1000.0,3000.0,250.0,pulseB,37000.0,StimulusA,A,202,3432.0000064373016,39975.600550979376,36975.600550979376
1,Neocortex L.23Sep15,S1.E21,40000,ML297+CCh,2746.9375,2887.5234375,"DAC0: PulseB 250 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2015/09.September/Data 23 Sep 2015/Neocortex L.23Sep15.S1.E21.dat,1,False,,,,1000.0,3000.0,250.0,pulseB,37000.0,StimulusA,A,105,3637.6000095009804,39995.00055126846,36995.00055126846
1,Neocortex L.23Sep15,S1.E23,40000,ML297+CCh,3105.390625,3245.9765625,"DAC0: PulseB 250 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2015/09.September/Data 23 Sep 2015/Neocortex L.23Sep15.S1.E23.dat,1,False,,,,1000.0,3000.0,250.0,pulseB,37000.0,StimulusA,A,121,3768.900011457503,39910.40055000782,36910.40055000782
1,Neocortex L.25Feb16,S1.E19,50000,,1153.2890625,1245.3359375,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 25 Feb 2016/Neocortex L.25Feb16.S1.E19.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,238,3417.2000062167645,49925.00069923699,46925.00069923699
1,Neocortex L.25Feb16,S1.E27,50000,,2053.0,2145.046875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 25 Feb 2016/Neocortex L.25Feb16.S1.E27.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,170,3715.1000106558204,49719.70069617778,46719.70069617778
1,Neocortex L.25Feb16,S1.E35,50000,,2661.8984375,2753.9453125,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 25 Feb 2016/Neocortex L.25Feb16.S1.E35.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,150,4231.70001835376,49945.00069953501,46945.00069953501
1,Neocortex L.25Feb16,S1.E38,50000,,2977.1328125,3069.1796875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 25 Feb 2016/Neocortex L.25Feb16.S1.E38.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,177,3766.40001142025,49881.30069858581,46881.30069858581
1,Neocortex L.25Mar16,S1.E10,40000,2uM CCh,663.171875,733.45703125,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 25 Mar 2016/Neocortex L.25Mar16.S1.E10.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,259,3251.7000037506223,39931.200550317764,36931.200550317764
1,Neocortex L.25Mar16,S1.E13,40000,2uM CCh,972.34765625,1042.6328125,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 25 Mar 2016/Neocortex L.25Mar16.S1.E13.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,311,3226.400003373623,39912.20055003464,36912.20055003464
1,Neocortex L.25Mar16,S1.E15,40000,2uM CCh,1209.265625,1279.55078125,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 25 Mar 2016/Neocortex L.25Mar16.S1.E15.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,241,3358.100005336106,39972.70055093616,36972.70055093616
